ticket_id,created_at,category,priority,status,subject,request_text,answer_text,tags,raw_text,clean_text,cluster_id
TCK-0111,2026-03-02,Account,Medium,Closed,Passwort geändert – danach kein Login mehr,"Ich habe mein Passwort geändert, jetzt geht weder VPN noch Outlook Login.","Nach einer Passwortänderung müssen gespeicherte Anmeldedaten aktualisiert werden. Bitte melde dich zuerst am Windows/SSO mit dem neuen Passwort an. Danach: VPN-Profil neu anmelden und in Outlook unter „Kontoeinstellungen“ ggf. Anmeldedaten aktualisieren. Falls du einen Passwort-Manager nutzt, dort ebenfalls aktualisieren.",passwort;geaendert;vpn;outlook,"Passwort geändert – danach kein Login mehr Ich habe mein Passwort geändert, jetzt geht weder VPN noch Outlook Login.","passwort geändert – danach kein login mehr ich habe mein passwort geändert, jetzt geht weder vpn noch outlook login.",3
TCK-0112,2026-03-02,SSO,Medium,Closed,SSO Fehler nach Browser-Update,Seit dem letzten Browser-Update kann ich mich im Portal nicht mehr anmelden.,"Bitte teste im Inkognito-Fenster und lösche Cache/Cookies. Prüfe, ob eine neue Sicherheits-/Privacy-Einstellung Drittanbieter-Cookies blockiert. In manchen Fällen hilft auch ein Zurücksetzen der Site-Berechtigungen. Wenn du willst, schicke mir Browser-Version + Screenshot, dann kann ich es gezielt nachstellen.",sso;browser-update;cookies;privacy,SSO Fehler nach Browser-Update Seit dem letzten Browser-Update kann ich mich im Portal nicht mehr anmelden.,sso fehler nach browser-update seit dem letzten browser-update kann ich mich im portal nicht mehr anmelden.,10
TCK-0113,2026-03-03,Security,High,Closed,MFA Nummer geändert – Login blockiert,Ich habe eine neue Telefonnummer. Jetzt kann ich keinen Code empfangen und komme nicht rein.,"Ich kann die hinterlegte MFA-Telefonnummer nach Identitätsprüfung aktualisieren oder die MFA-Registrierung zurücksetzen. Bitte sende mir die neue Nummer über den sicheren Kanal (nicht im Tickettext, falls euer Prozess das so vorsieht) und bestätige kurz deine Identität. Danach richtest du MFA neu ein.",mfa;telefonnummer;update;login,MFA Nummer geändert – Login blockiert Ich habe eine neue Telefonnummer. Jetzt kann ich keinen Code empfangen und komme nicht rein.,mfa nummer geändert – login blockiert ich habe eine neue telefonnummer. jetzt kann ich keinen code empfangen und komme nicht rein.,10
TCK-0114,2026-03-03,Account,Low,Closed,Passwort-Regeln unklar – Reset scheitert,Beim Zurücksetzen bekomme ich „Passwort entspricht nicht den Richtlinien“. Welche Regeln gelten?,"Das Passwort muss die Mindestlänge erfüllen und eine Mischung aus Groß-/Kleinbuchstaben, Zahl und Sonderzeichen enthalten. Vermeide Namen/leicht erratbare Wörter und nutze besser eine Passphrase (z. B. 4 Wörter + Zahl + Sonderzeichen). Wenn du mir sagst, welche Fehlermeldung genau kommt, kann ich prüfen, ob zusätzliche Regeln greifen.",passwort;richtlinien;reset;policy,Passwort-Regeln unklar – Reset scheitert Beim Zurücksetzen bekomme ich „Passwort entspricht nicht den Richtlinien“. Welche Regeln gelten?,passwort-regeln unklar – reset scheitert beim zurücksetzen bekomme ich „passwort entspricht nicht den richtlinien“. welche regeln gelten?,3
TCK-0115,2026-03-04,Account,Medium,Closed,Konto gesperrt nach VPN-Login,Nach VPN-Anmeldung wurde mein Konto sofort gesperrt.,"Ich habe dein Konto entsperrt. Wahrscheinlich nutzt der VPN-Client noch ein altes gespeichertes Passwort. Bitte lösche im VPN-Client gespeicherte Zugangsdaten und melde dich neu mit dem aktuellen Passwort an. Wenn du weitere Geräte nutzt (Handy/Outlook), aktualisiere dort ebenfalls die Anmeldedaten, um erneute Sperren zu vermeiden.",konto;gesperrt;vpn;credentials,Konto gesperrt nach VPN-Login Nach VPN-Anmeldung wurde mein Konto sofort gesperrt.,konto gesperrt nach vpn-login nach vpn-anmeldung wurde mein konto sofort gesperrt.,10
TCK-0201,2026-02-25,Drucker,Medium,Closed,Drucker druckt nur leere Seiten,"Der Etagenprinter druckt seit heute nur leere Seiten, egal welches Dokument.","Bitte drucke zuerst eine Testseite direkt am Gerät. Wenn die auch leer ist, liegt es sehr wahrscheinlich am Toner/Drum. Falls die Testseite ok ist: Entferne den Drucker unter „Geräte und Drucker“, füge ihn neu hinzu und setze den Druckertreiber zurück. Gib mir bitte den Druckernamen/Standort durch.",drucker;leere-seiten;toner;treiber,"Drucker druckt nur leere Seiten Der Etagenprinter druckt seit heute nur leere Seiten, egal welches Dokument.","drucker druckt nur leere seiten der etagenprinter druckt seit heute nur leere seiten, egal welches dokument.",11
TCK-0202,2026-02-25,Drucker,Low,Closed,Druck mit Streifen / schlechte Qualität,Ausdrucke haben seit gestern schwarze Streifen über die Seite.,"Das deutet oft auf Toner/Drum oder verschmutzte Rollen hin. Bitte starte die Reinigungs-/Kalibrierungsfunktion am Drucker (Menü -> Wartung). Wenn möglich, drucke eine interne Testseite. Falls die Streifen bleiben, tauschen wir Toner/Drum bzw. erstellen eine Störung für den Service.",drucker;streifen;druckqualitaet;drum,Druck mit Streifen / schlechte Qualität Ausdrucke haben seit gestern schwarze Streifen über die Seite.,druck mit streifen / schlechte qualität ausdrucke haben seit gestern schwarze streifen über die seite.,11
TCK-0203,2026-02-26,Drucker,Medium,Closed,Druckauftrag hängt in Warteschlange,"Mein Dokument bleibt im Status „Wird gedruckt“, aber es passiert nichts.","Bitte öffne die Druckwarteschlange und lösche alle hängenden Jobs. Danach Windows-Dienst „Druckwarteschlange“ neu starten (services.msc). Wenn es weiter hängt, entferne den Drucker und füge ihn erneut hinzu. Teile mir bitte den Druckernamen mit, dann prüfe ich die Queue auch serverseitig.",druckwarteschlange;haengt;restart;queue,"Druckauftrag hängt in Warteschlange Mein Dokument bleibt im Status „Wird gedruckt“, aber es passiert nichts.","druckauftrag hängt in warteschlange mein dokument bleibt im status „wird gedruckt“, aber es passiert nichts.",5
TCK-0204,2026-02-26,Drucker,High,Closed,Druckstau / Fehler am Gerät,"Am Drucker steht „Paper Jam“, aber ich finde kein Papier. Drucken geht nicht mehr.","Bitte öffne die Klappen gemäß Display-Anleitung und prüfe auch den Duplex-Bereich. Entferne ggf. kleine Papierstücke. Wenn der Fehler bleibt, starte den Drucker einmal neu. Wenn weiterhin „Paper Jam“ angezeigt wird, ist vermutlich ein Sensor blockiert – ich melde das Gerät beim Service.",drucker;paper-jam;stoerung;hardware,"Druckstau / Fehler am Gerät Am Drucker steht „Paper Jam“, aber ich finde kein Papier. Drucken geht nicht mehr.","druckstau / fehler am gerät am drucker steht „paper jam“, aber ich finde kein papier. drucken geht nicht mehr.",5
TCK-0205,2026-02-27,Scannen,Medium,Closed,Scanner sendet nicht an E-Mail,Scan-to-Mail funktioniert nicht. Es kommt keine Mail an.,"Bitte prüfe, ob du die richtige Empfängeradresse auswählst und ob die Mail im Spam landet. Häufig liegt es an SMTP/Authentifizierung. Ich prüfe die Scan-to-Mail Konfiguration am Gerät (Relay/Account) und die Server-Logs. Nenne mir bitte Gerätename/Standort und ungefähre Uhrzeit des Scanversuchs.",scanner;scan-to-mail;smtp;mail,Scanner sendet nicht an E-Mail Scan-to-Mail funktioniert nicht. Es kommt keine Mail an.,scanner sendet nicht an e-mail scan-to-mail funktioniert nicht. es kommt keine mail an.,9
TCK-0206,2026-02-27,Scannen,Low,Closed,Scan-to-Mail hängt ewig,Beim Scannen steht nur „Senden…“ und es passiert nichts.,"Bitte teste einmal Scan-to-USB oder Scan-to-Folder (falls vorhanden), um das Gerät einzugrenzen. Danach Gerät neu starten. Wenn nur Mail hängt, ist meist die Mail-Konfiguration/Netzwerkverbindung betroffen. Bitte gib mir Standort und ob Netzwerk am Gerät verfügbar ist (IP angezeigt?).",scanner;scan-to-mail;haengt;netzwerk,Scan-to-Mail hängt ewig Beim Scannen steht nur „Senden…“ und es passiert nichts.,scan-to-mail hängt ewig beim scannen steht nur „senden…“ und es passiert nichts.,9
TCK-0207,2026-02-28,Drucker,Medium,Closed,Standarddrucker verstellt sich ständig,Mein Standarddrucker springt immer wieder auf einen anderen Drucker.,"Bitte deaktiviere in Windows „Windows verwaltet Standarddrucker“ (Einstellungen -> Geräte -> Drucker & Scanner). Setze anschließend den gewünschten Drucker als Standard. Wenn du oft mit dem Laptop dockst, kann es sonst automatisch umschalten.",standarddrucker;windows;settings,Standarddrucker verstellt sich ständig Mein Standarddrucker springt immer wieder auf einen anderen Drucker.,standarddrucker verstellt sich ständig mein standarddrucker springt immer wieder auf einen anderen drucker.,5
TCK-0208,2026-02-28,Drucker,Low,Closed,Falsches Papierformat (A4/A3),"Der Drucker will A3, obwohl ich A4 drucke. Dadurch kommt immer eine Fehlermeldung.","Bitte prüfe im Druckdialog das Papierformat (A4) und im Druckertreiber die „Standardpapiergröße“. Oft ist in der Vorlage A3 gespeichert. Stelle außerdem sicher, dass im Druckerfach tatsächlich A4 eingelegt ist und das Fach korrekt eingestellt ist. Wenn du willst, schick mir einen Screenshot der Druckeinstellungen.",papierformat;a4;a3;druckeinstellungen,"Falsches Papierformat (A4/A3) Der Drucker will A3, obwohl ich A4 drucke. Dadurch kommt immer eine Fehlermeldung.","falsches papierformat (a4/a3) der drucker will a3, obwohl ich a4 drucke. dadurch kommt immer eine fehlermeldung.",5
TCK-0209,2026-02-27,Drucker,Medium,Closed,Druck kommt am falschen Drucker raus,"Ich drucke auf 'Etage 3', aber es kommt bei 'Etage 2' raus.","Bitte prüfe, ob du den richtigen Drucker ausgewählt hast und ob es ggf. mehrere ähnlich benannte Geräte gibt. Entferne alte Drucker aus der Liste, damit du nicht versehentlich den falschen wählst. Wenn ihr Follow-Me/Pull-Printing nutzt, stelle sicher, dass du am Gerät mit deinem Badge freigibst.",drucker;falscher-drucker;pull-printing,"Druck kommt am falschen Drucker raus Ich drucke auf 'Etage 3', aber es kommt bei 'Etage 2' raus.","druck kommt am falschen drucker raus ich drucke auf 'etage 3', aber es kommt bei 'etage 2' raus.",5
TCK-0210,2026-03-01,Drucker,High,Closed,Drucker offline / nicht erreichbar,Windows zeigt den Drucker als „Offline“ an. Drucken geht gar nicht.,"Bitte prüfe, ob der Drucker eingeschaltet ist und am Display eine IP-Adresse angezeigt wird. Starte Drucker und ggf. Docking/LAN kurz neu. Wenn du per WLAN druckst, teste einmal per LAN. Ich prüfe parallel die Erreichbarkeit des Druckservers und ob der Drucker im Netzwerk „down“ ist.",drucker;offline;netzwerk;druckserver,Drucker offline / nicht erreichbar Windows zeigt den Drucker als „Offline“ an. Drucken geht gar nicht.,drucker offline / nicht erreichbar windows zeigt den drucker als „offline“ an. drucken geht gar nicht.,11
TCK-0211,2026-03-01,Drucker,Medium,Closed,Druckauftrag verschwindet einfach,"Ich sende einen Druck, kurz danach ist er weg und es kommt nichts raus.","Das kann passieren, wenn der Treiber einen Fehler wirft oder der Job serverseitig abgebrochen wird. Bitte drucke testweise eine Windows-Testseite. Wenn die auch nicht kommt, entferne den Drucker und installiere ihn neu. Sende mir bitte Uhrzeit und Dokumenttyp (PDF/Word), dann kann ich im Print-Log nachsehen.",druckauftrag;verschwindet;treiber;print-log,"Druckauftrag verschwindet einfach Ich sende einen Druck, kurz danach ist er weg und es kommt nichts raus.","druckauftrag verschwindet einfach ich sende einen druck, kurz danach ist er weg und es kommt nichts raus.",11
TCK-0212,2026-03-02,Scannen,Medium,Closed,Scanner sendet an falsche Adresse,"Scan-to-Mail geht, aber die Scans landen bei einer falschen Mailadresse.",Wahrscheinlich ist am Gerät ein Standardempfänger oder ein altes Adressbuch hinterlegt. Ich kann die Schnellwahltasten/Adressbuch-Einträge prüfen und korrigieren. Bitte nenne mir den Gerätenamen und welche Taste/Profil du nutzt.,scanner;adressbuch;scan-to-mail;profil,"Scanner sendet an falsche Adresse Scan-to-Mail geht, aber die Scans landen bei einer falschen Mailadresse.","scanner sendet an falsche adresse scan-to-mail geht, aber die scans landen bei einer falschen mailadresse.",9
TCK-0213,2026-03-02,Drucker,Low,Closed,Druck dauert extrem lange,"Einfaches PDF braucht mehrere Minuten, bis es druckt.","Bitte teste einmal eine kleine Testseite. Wenn nur PDFs langsam sind, kann es an „Als Bild drucken“ oder am Treibermodus liegen. Stelle im Treiber testweise auf PCL6/Universal-Treiber um (falls vorhanden). Ich kann außerdem die Queue auf große Jobs prüfen, die alles blockieren.",druck;langsam;pdf;queue,"Druck dauert extrem lange Einfaches PDF braucht mehrere Minuten, bis es druckt.","druck dauert extrem lange einfaches pdf braucht mehrere minuten, bis es druckt.",11
TCK-0214,2026-03-03,Drucker,Medium,Closed,Druckwarteschlange lässt sich nicht löschen,"Ich kann die Druckjobs nicht abbrechen, sie bleiben drin hängen.","Bitte stoppe den Dienst „Druckwarteschlange“, lösche danach die Dateien im Spool-Ordner und starte den Dienst wieder. Wenn du das nicht darfst, kann ich es remote machen. Alternativ: Rechner neu starten hilft oft. Gib mir bitte den PC-Namen, falls ich übernehmen soll.",druckwarteschlange;spooler;haengt;cleanup,"Druckwarteschlange lässt sich nicht löschen Ich kann die Druckjobs nicht abbrechen, sie bleiben drin hängen.","druckwarteschlange lässt sich nicht löschen ich kann die druckjobs nicht abbrechen, sie bleiben drin hängen.",5
TCK-0215,2026-03-04,Scannen,Low,Closed,Scanner: PDF kommt leer/unklar an,"Der Scan kommt an, aber das PDF ist sehr blass bzw. teilweise leer.","Bitte reinige die Scanglasfläche und den ADF-Einzug (Staub verursacht oft Streifen/Blässe). Stelle testweise Kontrast/Schwärzung höher und wähle 300 dpi. Wenn das Problem nur über ADF auftritt, aber am Glas ok ist, ist der Einzug verschmutzt oder defekt – dann melden wir Wartung an.",scanner;pdf;qualitaet;adf,"Scanner: PDF kommt leer/unklar an Der Scan kommt an, aber das PDF ist sehr blass bzw. teilweise leer.","scanner: pdf kommt leer/unklar an der scan kommt an, aber das pdf ist sehr blass bzw. teilweise leer.",11
TCK-0301,2026-02-25,Performance,Medium,Closed,PC sehr langsam nach Windows-Update,Seit dem Windows-Update ist mein PC extrem langsam. Programme starten ewig.,"Nach Updates laufen oft Hintergrundprozesse (Indexierung/Defender/Optimierung). Bitte lass den PC 30–60 Minuten am Strom und im WLAN/LAN, damit alles fertig wird. Starte danach neu. Prüfe im Task-Manager, ob „Windows Modules Installer“/„Antimalware Service Executable“ viel Last verursacht. Wenn es morgen noch so ist, schicken mir bitte Screenshot vom Task-Manager (CPU/RAM/Datenträger).",windows-update;langsam;hintergrund;task-manager,PC sehr langsam nach Windows-Update Seit dem Windows-Update ist mein PC extrem langsam. Programme starten ewig.,pc sehr langsam nach windows-update seit dem windows-update ist mein pc extrem langsam. programme starten ewig.,2
TCK-0302,2026-02-25,Performance,High,Closed,PC hängt nach Login / schwarzer Bildschirm kurz,Nach dem Anmelden bleibt der Bildschirm lange schwarz und der Desktop lädt sehr spät.,"Das kann an Autostart-Programmen oder Profil-Skripten liegen. Bitte teste einmal mit Neustart und ohne VPN. Öffne Task-Manager -> Autostart und deaktiviere nicht benötigte Einträge. Ich prüfe parallel, ob das Profil/Netzlaufwerke beim Login hängen.",login;profil;autostart;langsam,PC hängt nach Login / schwarzer Bildschirm kurz Nach dem Anmelden bleibt der Bildschirm lange schwarz und der Desktop lädt sehr spät.,pc hängt nach login / schwarzer bildschirm kurz nach dem anmelden bleibt der bildschirm lange schwarz und der desktop lädt sehr spät.,2
TCK-0303,2026-02-26,Stabilität,Medium,Closed,Teams friert beim Start ein,"Teams öffnet sich, aber reagiert nicht mehr (weißes Fenster).","Bitte Teams komplett beenden (Task-Manager) und den Cache löschen (Teams Cache/Local Storage). Danach Teams neu starten. Wenn es wieder passiert, prüfe Updates von Teams und Windows. Alternativ kannst du testweise die Web-Version nutzen. Sende mir bitte deine Teams-Version, falls es bleibt.",teams;friert-ein;cache;white-screen,"Teams friert beim Start ein Teams öffnet sich, aber reagiert nicht mehr (weißes Fenster).","teams friert beim start ein teams öffnet sich, aber reagiert nicht mehr (weißes fenster).",0
TCK-0304,2026-02-26,Stabilität,Medium,Closed,Outlook friert beim Suchen ein,"Wenn ich in Outlook suche, hängt das Programm für mehrere Sekunden/minuten.","Bitte prüfe, ob Windows-Suche/Indexierung abgeschlossen ist (Indexoptionen). Starte Outlook einmal im abgesicherten Modus (outlook.exe /safe) und deaktiviere Add-ins nacheinander. Ich kann außerdem das Outlook-Profil reparieren und die OST neu aufbauen lassen, falls nötig.",outlook;friert-ein;suche;index,"Outlook friert beim Suchen ein Wenn ich in Outlook suche, hängt das Programm für mehrere Sekunden/minuten.","outlook friert beim suchen ein wenn ich in outlook suche, hängt das programm für mehrere sekunden/minuten.",2
TCK-0305,2026-02-27,Performance,High,Closed,Hohe CPU: Prozess 'Antimalware Service Executable',Mein Laptop ist laut und langsam. Im Task-Manager zieht 'Antimalware Service Executable' sehr viel CPU.,"Das ist Windows Defender beim Scannen. Bitte lasse den Scan einmal fertig laufen (am besten am Strom). Prüfe, ob gerade ein großes Laufwerk/Ordner neu synchronisiert wird. Wenn es dauerhaft hoch bleibt, kann ich eine gezielte Ausschlussprüfung für bekannte Unternehmensordner prüfen (nach Policy) oder einen vollständigen Malware-Scan anstoßen.",cpu;defender;antimalware;langsam,Hohe CPU: Prozess 'Antimalware Service Executable' Mein Laptop ist laut und langsam. Im Task-Manager zieht 'Antimalware Service Executable' sehr viel CPU.,hohe cpu: prozess 'antimalware service executable' mein laptop ist laut und langsam. im task-manager zieht 'antimalware service executable' sehr viel cpu.,8
TCK-0306,2026-02-27,Performance,Medium,Closed,Hohe CPU durch Prozess X (Unbekannt),"Im Task-Manager sehe ich einen Prozess, der ständig 80–90% CPU nutzt. Ich weiß nicht, was das ist.","Bitte sende mir den exakten Prozessnamen und – wenn möglich – einen Screenshot aus dem Task-Manager (Details-Tab). Oft sind es Updater, Browser-Tabs oder Sync-Clients. Als Sofortmaßnahme: PC neu starten und prüfen, ob es wieder auftritt. Danach können wir gezielt Updates/Reparatur durchführen.",cpu;prozess;task-manager;analyse,"Hohe CPU durch Prozess X (Unbekannt) Im Task-Manager sehe ich einen Prozess, der ständig 80–90% CPU nutzt. Ich weiß nicht, was das ist.","hohe cpu durch prozess x (unbekannt) im task-manager sehe ich einen prozess, der ständig 80–90% cpu nutzt. ich weiß nicht, was das ist.",8
TCK-0307,2026-02-28,Performance,Medium,Closed,Datenträger bei 100% – alles langsam,"Der PC ist extrem langsam, im Task-Manager steht Datenträger permanent bei 100%.","Bitte prüfe im Task-Manager -> Prozesse, welche App den Datenträger auslastet (z. B. Windows Search, OneDrive, Teams Cache). Wenn es Windows Search ist, kann Index neu aufgebaut werden. Wenn es OneDrive ist, Sync kurz pausieren. Ich kann bei Bedarf auch den Zustand der SSD prüfen (SMART) und Treiber/Update kontrollieren.",datentraeger;100%;ssd;windows-search,"Datenträger bei 100% – alles langsam Der PC ist extrem langsam, im Task-Manager steht Datenträger permanent bei 100%.","datenträger bei 100% – alles langsam der pc ist extrem langsam, im task-manager steht datenträger permanent bei 100%.",8
TCK-0308,2026-02-28,Stabilität,Low,Closed,Teams hängt beim Bildschirmteilen,Beim Bildschirmteilen friert Teams kurz ein und ruckelt stark.,"Bitte schließe unnötige Programme und prüfe, ob du über WLAN mit schwachem Signal verbunden bist. Teste wenn möglich LAN oder einen anderen Access Point. Stelle außerdem sicher, dass Teams aktualisiert ist. Wenn du mehrere Monitore nutzt, teste einmal nur mit einem Monitor, da das manchmal die GPU belastet.",teams;screen-share;ruckeln;netzwerk,Teams hängt beim Bildschirmteilen Beim Bildschirmteilen friert Teams kurz ein und ruckelt stark.,teams hängt beim bildschirmteilen beim bildschirmteilen friert teams kurz ein und ruckelt stark.,0
TCK-0309,2026-03-01,Performance,High,Closed,C: Laufwerk voll – Updates schlagen fehl,Mein C: Laufwerk ist voll und Windows-Updates brechen ab.,"Bitte öffne „Speicher“ in Windows und führe die Datenträgerbereinigung aus (temporäre Dateien, Windows Update Cleanup). Leere den Papierkorb und prüfe Downloads/Temp-Ordner. Verschiebe große Dateien (Videos/ISOs) auf ein Netzlaufwerk. Wenn du willst, kann ich dir eine Liste der größten Ordner geben (z. B. mit TreeSize) und helfen beim Aufräumen.",speicherplatz;laufwerk-c;voll;windows-update,C: Laufwerk voll – Updates schlagen fehl Mein C: Laufwerk ist voll und Windows-Updates brechen ab.,c: laufwerk voll – updates schlagen fehl mein c: laufwerk ist voll und windows-updates brechen ab.,8
